
Real Valladolid  VS.  Levante:
D  5  Martn Demichelis
D  6  Ignacio Camacho
D  15  Nacho Monreal
M  3  Weligton
M  7  Joaqun
M  8  Jeremy Toulalan
M  22  Isco
F  18  Eliseu
F  45  Fabrice

Deportivo La Corua  VS.  Getafe:
G  1  Daniel Aranzuba
D  2  Manuel Pablo
D  3  Evaldo
D  6  Aythami Artiles Oliva
D  24  Carlos Marchena
M  9  Pizzi
M  10  Juan Dominguez
M  14  Abel Aguilar
M  16  Bruno Gama
M  21  Juan Carlos Valern
F  11  Riki
--------------------------
G  1  Miguel Moya
D  2  Alexis
D  4  Miguel Torres Gmez
D  6  Alberto Lopo
D  20  Valera
M  14  Pedro Len
M  18  Lafita
M  19  Abdelaziz Barrada
M  21  Michel
M  25  Xavi Torres
F  11  Adrin Colunga

Mallorca  VS.  Real Sociedad:
G  13  Dudu Aouate
D  4  Anderson Conceicao
D  6  Antonio Lpez
D  16  Nunes
D  27  Ximo Navarro
M  5  Toms Pina
M  7  Pereira
M  8  Emilio Nsue
M  11  Javier Moreno Marquez
F  10  Tomer Hemed
F  18  Vctor Casadess
--------------------------
G  1  Claudio Bravo
D  3  Mikel Gonzalez
D  15  Jon Ansotegui
D  22  Daniel Estrada
D  24  Alberto de la Bella
M  5  Markel Bergara Larraaga
M  8  Asier Illarramendi
M  14  Rubn Pardo
F  9  Imanol Agirretxe
F  10  Xabi Prieto
F  11  Carlos Vela

Valencia  VS.  Real Zaragoza:
G  13  Vicente Guaita
D  3  Aly Cissokho
D  4  Adil Rami
D  12  Joao Pereira
D  24  Tino Costa
M  5  Fernando Gago
M  7  Jonas
M  8  Sofiane Feghouli
M  18  Victor Ruiz
F  9  Roberto Soldado
F  15  Jonathan Viera
--------------------------
G  1  Roberto Gago
D  4  lvaro
D  12  Romaric
D  19  Cristian Sapunaru
D  21  Abraham Minero
M  3  Javier Paredes
M  10  Apono
M  15  Jos Mari
M  32  Vctor Rodrguez
F  9  Hlder Postiga
F  11  Francisco Montas

Malaga  VS.  Real Betis:
G  13  Wilfredo Caballero
D  2  Jesus Gamez
D  5  Martn Demichelis
D  6  Ignacio Camacho
D  15  Nacho Monreal
M  3  Weligton
M  7  Joaqun
M  9  Javier Saviola
M  19  Francisco Portillo
M  22  Isco
F  18  Eliseu
--------------------------
G  1  Casto
D  4  Antonio Amaya
D  21  Jose Canas
D  22  Nlson
D  23  Perez Nacho
M  3  Mario
M  8  Rubn Prez
M  10  Beat
F  17  Juan Carlos
F  18  Salvador Agra
F  19  Jorge Molina

Real Sociedad  VS.  Athletic Bilbao:
G  13  Zubikarai
D  3  Mikel Gonzalez
D  6  Iigo Martnez
D  22  Daniel Estrada
D  24  Alberto de la Bella
M  5  Markel Bergara Larraaga
M  7  Antoine Griezmann
M  8  Asier Illarramendi
M  10  Xabi Prieto
M  17  David Zurutuza
F  9  Imanol Agirretxe
--------------------------
G  1  Gorka Iraizoz
D  5  Fernando Amorebieta
