Osasuna,0-0,Barcelona
Espanyol,1-0,Atletico Madrid
Elche,0-1,Villarreal
Getafe,0-1,Valencia
Atletico Madrid,2-0,Athletic Bilbao
Levante,0-1,Granada
Malaga,3-2,Real Betis
Real Sociedad,5-0,Osasuna
Almeria,1-0,Real Valladolid
Rayo Vallecano,2-3,Real Madrid
Sevilla FC,0-1,Celta Vigo
Barcelona,1-0,Espanyol
Granada,1-2,Atletico Madrid
Villarreal,0-2,Getafe
Athletic Bilbao,2-2,Elche
Real Betis,0-0,Levante
Real Valladolid,2-2,Real Sociedad
Valencia,1-2,Almeria
Osasuna,3-1,Rayo Vallecano
Real Madrid,7-3,Sevilla FC
Espanyol,1-3,Sevilla FC
Valencia,2-2,Real Valladolid
Villarreal,1-1,Atletico Madrid
Real Betis,1-4,Barcelona
Real Madrid,5-1,Real Sociedad
Getafe,1-1,Elche
Athletic Bilbao,2-1,Levante
Celta Vigo,0-2,Rayo Vallecano
Osasuna,0-1,Almeria
Granada,3-1,Malaga
Real Betis,2-2,Rayo Vallecano
Granada,1-2,Sevilla FC
Valencia,3-0,Osasuna
Athletic Bilbao,1-0,Barcelona
Elche,0-2,Atletico Madrid
Celta Vigo,3-1,Almeria
Real Madrid,4-0,Real Valladolid
Espanyol,1-2,Real Sociedad
Getafe,1-0,Levante
Villarreal,1-1,Malaga
Malaga,1-2,Athletic Bilbao
Levante,0-3,Villarreal
Rayo Vallecano,1-4,Espanyol
Elche,2-1,Valencia
Sevilla FC,4-0,Real Betis
Barcelona,4-0,Granada
Real Sociedad,4-3,Celta Vigo
Almeria,0-5,Real Madrid
Atletico Madrid,7-0,Getafe
Real Valladolid,0-1,Osasuna
Espanyol,4-2,Real Valladolid
Getafe,2-5,Barcelona
Athletic Bilbao,2-1,Rayo Vallecano
Celta Vigo,1-1,Osasuna
Valencia,2-3,Real Madrid
Villarreal,1-2,Sevilla FC
Real Betis,0-1,Almeria
Atletico Madrid,3-2,Levante
Granada,1-3,Real Sociedad
Elche,0-1,Malaga
Real Valladolid,3-0,Celta Vigo
Almeria,0-0,Espanyol
Real Sociedad,5-1,Real Betis
Sevilla FC,1-1,Athletic Bilbao
Atletico Madrid,3-0,Valencia
Osasuna,2-2,Real Madrid
Rayo Vallecano,0-2,Granada
Barcelona,2-1,Villarreal
Malaga,1-0,Getafe
Levante,2-1,Elche
Villarreal,5-1,Real Sociedad
Getafe,0-1,Rayo Vallecano
Real Betis,1-2,Osasuna
Espanyol,0-1,Real Madrid
Levante,1-0,Malaga
Athletic Bilbao,6-1,Almeria
